CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Juan Gómez,Azúcar 1kg,3.65,3,Villavicencio,Juan L.,2024-10-27,Cerrado,10.95,0.55,Carnes
Sofía López,Cereal 300g,4.08,14,Montería,Andrea C.,2025-05-04,Cerrado,57.12,2.86,Snacks
Carlos Pérez,Tomate enlatado 400g,1.34,7,Neiva,Natalia M.,2025-08-27,Cerrado,9.38,0.47,Panadería
Patricia Morales,Cereal 300g,3.94,2,Cartagena,Camila R.,2025-03-05,Cerrado,7.88,0.39,Bebidas no alcohólicas
Cecilia Torres,Queso 250g,4.91,7,Cali,Diego S.,2024-10-23,Cerrado,34.37,1.72,Limpieza
Ana García,Café 250g,6.7,15,Bogotá,Camila R.,2025-03-28,Cerrado,100.5,5.03,Bebidas
Ricardo Castro,Cereal 300g,3.35,2,Pereira,María V.,2025-05-07,Cerrado,6.7,0.34,Alimentos
Andrés Díaz,Pan 500g,1.2,1,Barranquilla,María V.,2024-10-28,Cerrado,1.2,0.06,Carnes
Laura Mendoza,Mantequilla 200g,3.36,1,Villavicencio,Santiago Q.,2025-08-23,Pendiente,3.36,0.17,Congelados
Marta Aguilar,Pollo 1kg,7.0,2,Medellín,Santiago Q.,2025-02-24,Cerrado,14.0,0.7,Congelados
Héctor Suarez,Salsa de tomate 400g,1.88,4,Cali,Natalia M.,2025-01-17,Pendiente,7.52,0.38,Limpieza
Jorge Martínez,Leche 1L,2.31,2,Medellín,Andrea C.,2025-05-26,Cerrado,4.62,0.23,Panadería
Juan Gómez,Café 250g,5.08,4,Bogotá,Andrea C.,2025-02-05,Cancelado,20.32,1.02,Abarrotes
Patricia Morales,Café 250g,6.74,10,Bucaramanga,María V.,2025-06-15,Cerrado,67.4,3.37,Alimentos
Ricardo Castro,Cereal 300g,4.58,5,Pereira,Carlos T.,2024-12-31,Cerrado,22.9,1.14,Bebidas
Cecilia Torres,Galletas 200g,2.19,12,Bucaramanga,María V.,2024-12-24,Cerrado,26.28,1.31,Abarrotes
Carlos Pérez,Salsa de tomate 400g,1.46,4,Montería,Camila R.,2024-12-13,Cerrado,5.84,0.29,Limpieza
Ricardo Castro,Salsa de tomate 400g,1.92,1,Cali,Camila R.,2025-08-14,Cerrado,1.92,0.1,Congelados
Gabriel Navarro,Huevos 12u,2.56,3,Villavicencio,Santiago Q.,2025-03-12,Cerrado,7.68,0.38,Bebidas no alcohólicas
Gabriel Navarro,Salsa de tomate 400g,1.93,3,Cúcuta,Andrea C.,2025-02-12,Cerrado,5.79,0.29,Panadería
Juan Gómez,Pan 500g,1.3,3,Barranquilla,Juan L.,2025-03-18,Cerrado,3.9,0.2,Carnes
Óscar Herrera,Aceite 1L,9.3,1,Manizales,Santiago Q.,2025-01-19,Cerrado,9.3,0.47,Carnes
Andrés Díaz,Salsa de tomate 400g,1.66,9,Santa Marta,Juan L.,2025-06-13,Cerrado,14.94,0.75,Limpieza
Juan Gómez,Tomate enlatado 400g,1.54,3,Manizales,Santiago Q.,2025-08-22,Cerrado,4.62,0.23,Alimentos
Laura Mendoza,Yogur 120g,0.86,5,Montería,Daniela F.,2024-09-25,Pendiente,4.3,0.22,Lácteos
Óscar Herrera,Pollo 1kg,6.93,1,Bogotá,Juan L.,2024-09-27,Pendiente,6.93,0.35,Congelados
María Rodríguez,Cereal 300g,3.62,5,Bogotá,Natalia M.,2025-04-07,Cerrado,18.1,0.91,Alimentos
Jorge Martínez,Jabón 500g,3.0,10,Pereira,Natalia M.,2025-08-07,Pendiente,30.0,1.5,Panadería
Diego Ramírez,Aceite 1L,7.0,5,Cúcuta,Andrea C.,2025-02-27,Cancelado,35.0,1.75,Snacks
Luisa Fernández,Atún 170g,2.33,8,Cúcuta,María V.,2025-04-23,Cerrado,18.64,0.93,Abarrotes
Valentina Silva,Café 250g,4.99,3,Cali,Juan L.,2025-04-07,Cerrado,14.97,0.75,Carnes
Ricardo Castro,Tomate enlatado 400g,1.32,29,Cartagena,Natalia M.,2025-04-20,Cerrado,38.28,1.91,Snacks
Sofía López,Harina 1kg,2.98,6,Cartagena,Andrea C.,2025-05-31,Cerrado,17.88,0.89,Lácteos
Gabriel Navarro,Galletas 200g,2.39,13,Montería,Juan L.,2025-09-02,Cerrado,31.07,1.55,Lácteos
Carlos Pérez,Café 250g,4.89,5,Pereira,Luis P.,2024-10-01,Cerrado,24.45,1.22,Alimentos
Patricia Morales,Galletas 200g,1.77,3,Montería,Daniela F.,2025-02-25,Cerrado,5.31,0.27,Bebidas no alcohólicas
Diego Ramírez,Leche 1L,2.99,3,Montería,Juan L.,2024-10-01,Cerrado,8.97,0.45,Abarrotes
Valentina Silva,Atún 170g,2.53,4,Villavicencio,Andrea C.,2025-03-18,Cerrado,10.12,0.51,Snacks
Óscar Herrera,Salsa de tomate 400g,1.74,2,Santa Marta,Natalia M.,2025-09-15,Pendiente,3.48,0.17,Panadería
Jorge Martínez,Azúcar 1kg,3.22,4,Manizales,Andrea C.,2025-05-15,Cerrado,12.88,0.64,Limpieza
Héctor Suarez,Pan 500g,1.0,2,Sincelejo,Diego S.,2024-11-08,Cerrado,2.0,0.1,Lácteos
Marta Aguilar,Galletas 200g,1.81,1,Bucaramanga,Diego S.,2025-07-06,Cancelado,1.81,0.09,Snacks
María Rodríguez,Huevos 12u,2.74,3,Cúcuta,Diego S.,2025-06-21,Cerrado,8.22,0.41,Lácteos
Juan Gómez,Detergente 1kg,5.91,15,Cartagena,Diego S.,2025-04-29,Pendiente,88.65,4.43,Congelados
Andrés Díaz,Huevos 12u,2.87,3,Cartagena,Carlos T.,2025-04-20,Pendiente,8.61,0.43,Snacks
Ana García,Azúcar 1kg,3.19,4,Medellín,Diego S.,2025-06-17,Cerrado,12.76,0.64,Alimentos
Diego Ramírez,Aceite 1L,8.56,5,Ibagué,Santiago Q.,2025-07-28,Cerrado,42.8,2.14,Congelados
Ricardo Castro,Atún 170g,2.06,1,Barranquilla,Natalia M.,2024-12-11,Cerrado,2.06,0.1,Alimentos
Héctor Suarez,Azúcar 1kg,3.33,1,Santa Marta,Santiago Q.,2025-08-14,Cerrado,3.33,0.17,Bebidas
Andrés Díaz,Cereal 300g,3.37,5,Bucaramanga,Luis P.,2025-05-02,Cerrado,16.85,0.84,Carnes
Gabriel Navarro,Yogur 120g,0.69,1,Ibagué,Luis P.,2025-03-20,Cerrado,0.69,0.03,Abarrotes
Sofía López,Queso 250g,3.98,4,Bogotá,Camila R.,2025-06-13,Pendiente,15.92,0.8,Panadería
Marta Aguilar,Aceite 1L,7.02,9,Villavicencio,Daniela F.,2025-07-30,Cerrado,63.18,3.16,Bebidas no alcohólicas
María Rodríguez,Salsa de tomate 400g,1.54,3,Bucaramanga,María V.,2025-03-16,Cerrado,4.62,0.23,Limpieza
Patricia Morales,Aceite 1L,8.87,3,Manizales,Andrea C.,2024-11-10,Cerrado,26.61,1.33,Lácteos
Andrés Díaz,Cereal 300g,3.57,1,Villavicencio,Santiago Q.,2025-06-03,Cerrado,3.57,0.18,Limpieza
Héctor Suarez,Harina 1kg,3.93,14,Sincelejo,Andrea C.,2024-12-18,Cerrado,55.02,2.75,Congelados
María Rodríguez,Atún 170g,2.59,3,Ibagué,Carlos T.,2025-03-09,Cerrado,7.77,0.39,Panadería
Patricia Morales,Pollo 1kg,6.49,3,Villavicencio,Luis P.,2024-12-02,Cerrado,19.47,0.97,Bebidas
Ricardo Castro,Pan 500g,1.4,1,Sincelejo,Daniela F.,2025-09-09,Cerrado,1.4,0.07,Carnes
Diego Ramírez,Pan 500g,1.4,3,Manizales,Diego S.,2024-10-11,Pendiente,4.2,0.21,Snacks
Diego Ramírez,Pasta 500g,1.61,1,Manizales,Luis P.,2024-12-28,Cancelado,1.61,0.08,Abarrotes
Felipe Rojas,Pollo 1kg,7.39,3,Cúcuta,Camila R.,2025-01-01,Pendiente,22.17,1.11,Snacks
Ricardo Castro,Huevos 12u,2.03,8,Villavicencio,Carlos T.,2025-04-10,Cerrado,16.24,0.81,Bebidas
Diego Ramírez,Arroz 1kg,4.54,1,Bucaramanga,Diego S.,2025-05-02,Cerrado,4.54,0.23,Bebidas no alcohólicas
Andrés Díaz,Salsa de tomate 400g,1.85,9,Cartagena,Juan L.,2024-11-16,Cerrado,16.65,0.83,Panadería
Laura Mendoza,Pollo 1kg,7.72,5,Sincelejo,Natalia M.,2025-07-24,Cerrado,38.6,1.93,Alimentos
Héctor Suarez,Pan 500g,1.05,5,Bogotá,Luis P.,2024-11-15,Cancelado,5.25,0.26,Bebidas
Valentina Silva,Arroz 1kg,4.28,3,Villavicencio,Santiago Q.,2025-09-07,Cerrado,12.84,0.64,Abarrotes
Isabella Ortiz,Pan 500g,1.24,2,Cali,Andrea C.,2024-12-24,Cerrado,2.48,0.12,Alimentos
Felipe Rojas,Mantequilla 200g,3.56,5,Neiva,Santiago Q.,2024-12-07,Cerrado,17.8,0.89,Bebidas
Andrés Díaz,Cereal 300g,4.31,3,Pereira,Santiago Q.,2025-06-10,Cerrado,12.93,0.65,Bebidas no alcohólicas
Héctor Suarez,Leche 1L,3.35,3,Cúcuta,Juan L.,2025-08-21,Cerrado,10.05,0.5,Congelados
Carlos Pérez,Detergente 1kg,7.02,5,Cúcuta,Diego S.,2025-05-06,Cerrado,35.1,1.76,Panadería
Jorge Martínez,Arroz 1kg,4.43,2,Barranquilla,Daniela F.,2025-04-22,Cerrado,8.86,0.44,Bebidas no alcohólicas
Felipe Rojas,Café 250g,5.72,6,Bucaramanga,Daniela F.,2025-07-27,Cerrado,34.32,1.72,Panadería
Ana García,Jabón 500g,2.16,10,Pereira,Daniela F.,2025-06-23,Cancelado,21.6,1.08,Limpieza
Jorge Martínez,Cereal 300g,4.55,5,Bucaramanga,Diego S.,2025-06-26,Cerrado,22.75,1.14,Alimentos
Luisa Fernández,Queso 250g,5.12,9,Ibagué,Carlos T.,2024-12-22,Cerrado,46.08,2.3,Bebidas no alcohólicas
María Rodríguez,Queso 250g,4.68,4,Neiva,Luis P.,2025-04-29,Cerrado,18.72,0.94,Limpieza
Sofía López,Mantequilla 200g,4.1,5,Villavicencio,Luis P.,2025-02-04,Cerrado,20.5,1.03,Abarrotes
Carlos Pérez,Harina 1kg,3.83,4,Montería,Daniela F.,2025-01-02,Cerrado,15.32,0.77,Bebidas
Isabella Ortiz,Aceite 1L,8.42,4,Ibagué,Natalia M.,2025-09-04,Cerrado,33.68,1.68,Bebidas no alcohólicas
Gabriel Navarro,Harina 1kg,3.99,1,Sincelejo,Diego S.,2024-10-19,Cerrado,3.99,0.2,Limpieza
Carlos Pérez,Galletas 200g,2.26,4,Cartagena,Natalia M.,2025-08-18,Pendiente,9.04,0.45,Alimentos
Héctor Suarez,Detergente 1kg,5.15,7,Manizales,Luis P.,2024-12-20,Cerrado,36.05,1.8,Bebidas
Ricardo Castro,Cereal 300g,4.69,2,Pereira,Camila R.,2025-01-10,Cerrado,9.38,0.47,Snacks
Héctor Suarez,Cereal 300g,4.74,2,Manizales,María V.,2025-05-31,Cerrado,9.48,0.47,Limpieza
Gabriel Navarro,Jabón 500g,2.91,5,Sincelejo,Andrea C.,2024-11-29,Cerrado,14.55,0.73,Snacks
Óscar Herrera,Salsa de tomate 400g,1.87,4,Bucaramanga,Daniela F.,2024-11-11,Cerrado,7.48,0.37,Abarrotes
Gabriel Navarro,Cereal 300g,3.63,1,Villavicencio,Santiago Q.,2025-05-24,Cerrado,3.63,0.18,Limpieza
Héctor Suarez,Huevos 12u,2.65,5,Bogotá,Carlos T.,2025-09-02,Cerrado,13.25,0.66,Lácteos
Luisa Fernández,Mantequilla 200g,3.06,4,Medellín,María V.,2024-11-08,Pendiente,12.24,0.61,Lácteos
Isabella Ortiz,Leche 1L,3.25,5,Barranquilla,Juan L.,2024-12-22,Cerrado,16.25,0.81,Limpieza
Patricia Morales,Galletas 200g,1.68,1,Barranquilla,Santiago Q.,2025-05-14,Cerrado,1.68,0.08,Bebidas no alcohólicas
Felipe Rojas,Cereal 300g,3.9,2,Cartagena,Carlos T.,2025-01-25,Cerrado,7.8,0.39,Panadería
Diego Ramírez,Atún 170g,2.01,2,Villavicencio,Natalia M.,2025-01-05,Cerrado,4.02,0.2,Alimentos
Felipe Rojas,Leche 1L,2.67,3,Montería,Carlos T.,2025-04-12,Cerrado,8.01,0.4,Carnes
Ricardo Castro,Huevos 12u,2.14,3,Villavicencio,Camila R.,2025-02-04,Cerrado,6.42,0.32,Bebidas no alcohólicas
Juan Gómez,Detergente 1kg,5.81,4,Cúcuta,Santiago Q.,2025-05-20,Cerrado,23.24,1.16,Lácteos
Ana García,Mantequilla 200g,2.98,3,Cúcuta,Natalia M.,2024-12-15,Cerrado,8.94,0.45,Panadería
Juan Gómez,Huevos 12u,2.64,5,Cali,Luis P.,2024-12-10,Pendiente,13.2,0.66,Bebidas no alcohólicas
Juan Gómez,Pasta 500g,2.08,1,Neiva,Santiago Q.,2025-01-22,Cerrado,2.08,0.1,Abarrotes
Gabriel Navarro,Galletas 200g,2.29,5,Sincelejo,Juan L.,2025-03-13,Cerrado,11.45,0.57,Snacks
Luisa Fernández,Yogur 120g,0.81,4,Bucaramanga,Natalia M.,2025-01-04,Cerrado,3.24,0.16,Limpieza
Gabriel Navarro,Pasta 500g,1.96,1,Neiva,Luis P.,2025-01-17,Pendiente,1.96,0.1,Bebidas no alcohólicas
Andrés Díaz,Aceite 1L,8.28,4,Cali,Andrea C.,2025-07-31,Cerrado,33.12,1.66,Bebidas
Héctor Suarez,Café 250g,5.24,3,Sincelejo,Santiago Q.,2024-12-15,Cerrado,15.72,0.79,Abarrotes
Isabella Ortiz,Leche 1L,2.41,5,Barranquilla,Carlos T.,2025-08-21,Cerrado,12.05,0.6,Snacks
Isabella Ortiz,Pasta 500g,1.68,3,Cúcuta,Natalia M.,2025-09-07,Cerrado,5.04,0.25,Abarrotes
Héctor Suarez,Pasta 500g,1.81,3,Montería,María V.,2025-06-29,Cerrado,5.43,0.27,Abarrotes
Gabriel Navarro,Galletas 200g,2.06,9,Barranquilla,Daniela F.,2024-11-30,Cerrado,18.54,0.93,Bebidas
Diego Ramírez,Pasta 500g,2.14,36,Santa Marta,Andrea C.,2025-06-20,Cerrado,77.04,3.85,Bebidas
Patricia Morales,Leche 1L,3.25,2,Ibagué,Daniela F.,2025-08-30,Cerrado,6.5,0.32,Congelados
Sofía López,Galletas 200g,1.61,2,Pereira,María V.,2025-06-25,Cerrado,3.22,0.16,Lácteos
Luisa Fernández,Harina 1kg,2.94,1,Pereira,Diego S.,2025-01-07,Cerrado,2.94,0.15,Bebidas no alcohólicas
Cecilia Torres,Queso 250g,4.99,2,Cali,Juan L.,2025-02-19,Cerrado,9.98,0.5,Panadería
Cecilia Torres,Café 250g,6.78,10,Ibagué,Camila R.,2025-07-14,Pendiente,67.8,3.39,Bebidas
Ricardo Castro,Mantequilla 200g,2.91,15,Cartagena,Camila R.,2025-03-08,Cerrado,43.65,2.18,Carnes
Marta Aguilar,Yogur 120g,0.83,2,Ibagué,María V.,2025-09-22,Pendiente,1.66,0.08,Bebidas no alcohólicas
Sofía López,Atún 170g,2.28,3,Medellín,Luis P.,2024-12-31,Cerrado,6.84,0.34,Limpieza
Laura Mendoza,Leche 1L,2.82,5,Cali,Santiago Q.,2025-07-01,Pendiente,14.1,0.7,Alimentos
Ana García,Cereal 300g,4.69,14,Montería,María V.,2025-05-26,Cerrado,65.66,3.28,Panadería
Isabella Ortiz,Galletas 200g,1.82,8,Villavicencio,Diego S.,2025-04-19,Cerrado,14.56,0.73,Abarrotes
Andrés Díaz,Azúcar 1kg,3.81,1,Bogotá,Daniela F.,2024-10-23,Cerrado,3.81,0.19,Panadería
Óscar Herrera,Salsa de tomate 400g,1.91,5,Barranquilla,Luis P.,2025-01-24,Cerrado,9.55,0.48,Carnes
Ana García,Jabón 500g,2.32,2,Manizales,Daniela F.,2024-12-05,Cerrado,4.64,0.23,Bebidas
Héctor Suarez,Tomate enlatado 400g,1.31,5,Barranquilla,Daniela F.,2025-08-09,Cancelado,6.55,0.33,Carnes
Valentina Silva,Jabón 500g,2.02,2,Cali,Natalia M.,2025-07-20,Cerrado,4.04,0.2,Limpieza
Laura Mendoza,Pasta 500g,2.03,11,Villavicencio,Andrea C.,2024-11-19,Pendiente,22.33,1.12,Carnes
Diego Ramírez,Detergente 1kg,5.75,4,Bogotá,María V.,2025-02-03,Cancelado,23.0,1.15,Snacks
Jorge Martínez,Jabón 500g,2.88,1,Ibagué,Diego S.,2025-06-10,Cerrado,2.88,0.14,Panadería
María Rodríguez,Huevos 12u,2.74,29,Neiva,Santiago Q.,2025-07-27,Pendiente,79.46,3.97,Lácteos
Laura Mendoza,Pan 500g,1.17,2,Medellín,Luis P.,2024-10-19,Cerrado,2.34,0.12,Bebidas no alcohólicas
Gabriel Navarro,Leche 1L,2.88,1,Barranquilla,Luis P.,2024-12-09,Cerrado,2.88,0.14,Congelados
Luisa Fernández,Café 250g,6.22,1,Ibagué,Camila R.,2025-09-13,Cerrado,6.22,0.31,Limpieza
Cecilia Torres,Queso 250g,4.05,3,Pereira,Daniela F.,2025-02-14,Cerrado,12.15,0.61,Congelados
Marta Aguilar,Pollo 1kg,7.98,1,Neiva,Juan L.,2024-12-11,Cerrado,7.98,0.4,Limpieza
Valentina Silva,Aceite 1L,9.08,3,Montería,Carlos T.,2025-09-06,Cancelado,27.24,1.36,Abarrotes
Cecilia Torres,Leche 1L,2.67,11,Cartagena,Andrea C.,2025-01-07,Cerrado,29.37,1.47,Bebidas no alcohólicas
Valentina Silva,Queso 250g,5.08,15,Neiva,Juan L.,2025-08-08,Cerrado,76.2,3.81,Bebidas
Felipe Rojas,Arroz 1kg,4.28,1,Barranquilla,Andrea C.,2025-03-07,Cerrado,4.28,0.21,Snacks
Marta Aguilar,Atún 170g,1.86,4,Bogotá,Camila R.,2024-12-28,Cerrado,7.44,0.37,Snacks
Isabella Ortiz,Yogur 120g,0.94,1,Cúcuta,Natalia M.,2025-06-08,Cerrado,0.94,0.05,Lácteos
Ana García,Detergente 1kg,5.66,14,Medellín,Diego S.,2025-07-21,Pendiente,79.24,3.96,Bebidas
Ana García,Aceite 1L,9.59,1,Cali,Carlos T.,2025-04-07,Cerrado,9.59,0.48,Limpieza
Marta Aguilar,Arroz 1kg,3.57,2,Bucaramanga,María V.,2025-04-10,Cerrado,7.14,0.36,Carnes
Laura Mendoza,Huevos 12u,2.19,30,Medellín,Santiago Q.,2025-07-15,Pendiente,65.7,3.28,Bebidas no alcohólicas
Jorge Martínez,Cereal 300g,4.06,3,Pereira,Juan L.,2025-07-10,Cerrado,12.18,0.61,Panadería
Gabriel Navarro,Huevos 12u,2.73,4,Cartagena,Andrea C.,2025-08-05,Cerrado,10.92,0.55,Panadería
Isabella Ortiz,Huevos 12u,2.13,2,Cúcuta,Diego S.,2025-03-06,Cerrado,4.26,0.21,Lácteos
Ricardo Castro,Detergente 1kg,5.27,1,Barranquilla,Diego S.,2025-04-02,Cerrado,5.27,0.26,Congelados
Luisa Fernández,Leche 1L,3.06,2,Bogotá,Andrea C.,2025-06-21,Cerrado,6.12,0.31,Panadería
Gabriel Navarro,Pasta 500g,1.83,4,Montería,Luis P.,2025-09-19,Cerrado,7.32,0.37,Panadería
Patricia Morales,Arroz 1kg,3.6,4,Medellín,Diego S.,2024-11-18,Cerrado,14.4,0.72,Limpieza
Sofía López,Galletas 200g,1.65,1,Bucaramanga,Camila R.,2025-01-07,Cerrado,1.65,0.08,Carnes
Felipe Rojas,Jabón 500g,2.66,2,Medellín,Andrea C.,2024-12-09,Pendiente,5.32,0.27,Carnes
Andrés Díaz,Aceite 1L,9.45,3,Cali,Daniela F.,2025-02-10,Cerrado,28.35,1.42,Lácteos
Ana García,Detergente 1kg,5.22,4,Bucaramanga,Santiago Q.,2025-01-19,Pendiente,20.88,1.04,Carnes
Ana García,Tomate enlatado 400g,1.31,15,Villavicencio,Juan L.,2025-01-19,Cerrado,19.65,0.98,Lácteos
Juan Gómez,Yogur 120g,0.82,1,Bucaramanga,María V.,2025-09-14,Cerrado,0.82,0.04,Abarrotes
Jorge Martínez,Yogur 120g,0.76,2,Montería,Santiago Q.,2025-04-12,Cerrado,1.52,0.08,Carnes
Óscar Herrera,Yogur 120g,0.91,10,Ibagué,Andrea C.,2025-03-16,Cancelado,9.1,0.46,Bebidas no alcohólicas
Felipe Rojas,Mantequilla 200g,4.13,3,Cúcuta,Andrea C.,2025-06-04,Cerrado,12.39,0.62,Panadería
Marta Aguilar,Arroz 1kg,4.51,3,Barranquilla,María V.,2024-11-02,Pendiente,13.53,0.68,Snacks
Isabella Ortiz,Huevos 12u,2.96,13,Pereira,Natalia M.,2025-04-16,Cerrado,38.48,1.92,Panadería
Jorge Martínez,Azúcar 1kg,2.62,15,Ibagué,Daniela F.,2025-09-18,Cerrado,39.3,1.96,Limpieza
Gabriel Navarro,Harina 1kg,3.35,10,Manizales,María V.,2025-05-28,Cerrado,33.5,1.68,Bebidas no alcohólicas
Valentina Silva,Café 250g,5.29,4,Sincelejo,Carlos T.,2025-01-11,Cerrado,21.16,1.06,Congelados
Valentina Silva,Detergente 1kg,5.79,9,Bogotá,Andrea C.,2024-10-14,Cerrado,52.11,2.61,Abarrotes
Jorge Martínez,Leche 1L,3.28,3,Neiva,Camila R.,2025-08-17,Cerrado,9.84,0.49,Panadería
Marta Aguilar,Huevos 12u,2.22,3,Cúcuta,Andrea C.,2025-01-24,Cerrado,6.66,0.33,Bebidas
Valentina Silva,Tomate enlatado 400g,1.44,20,Neiva,María V.,2024-12-21,Cerrado,28.8,1.44,Abarrotes
Isabella Ortiz,Huevos 12u,3.0,4,Manizales,Daniela F.,2025-05-31,Cerrado,12.0,0.6,Congelados
Carlos Pérez,Huevos 12u,2.1,5,Villavicencio,Carlos T.,2025-01-20,Cerrado,10.5,0.52,Carnes
Ana García,Azúcar 1kg,3.2,13,Santa Marta,Daniela F.,2025-01-29,Cerrado,41.6,2.08,Lácteos
Marta Aguilar,Detergente 1kg,5.25,1,Bucaramanga,Carlos T.,2024-11-07,Cerrado,5.25,0.26,Snacks
María Rodríguez,Pollo 1kg,8.26,15,Sincelejo,Natalia M.,2025-05-19,Cerrado,123.9,6.2,Alimentos
Isabella Ortiz,Leche 1L,2.73,15,Neiva,Natalia M.,2025-06-24,Cerrado,40.95,2.05,Limpieza
Sofía López,Pasta 500g,1.6,12,Villavicencio,Daniela F.,2025-09-22,Cerrado,19.2,0.96,Bebidas no alcohólicas
Felipe Rojas,Salsa de tomate 400g,2.07,4,Neiva,Luis P.,2025-02-16,Cerrado,8.28,0.41,Bebidas no alcohólicas
Felipe Rojas,Pasta 500g,1.85,8,Barranquilla,Luis P.,2025-08-28,Cancelado,14.8,0.74,Alimentos
Patricia Morales,Galletas 200g,1.78,1,Manizales,Carlos T.,2024-11-05,Cerrado,1.78,0.09,Lácteos
Gabriel Navarro,Queso 250g,4.19,2,Bucaramanga,Camila R.,2025-06-29,Cerrado,8.38,0.42,Carnes
Sofía López,Pollo 1kg,6.01,1,Neiva,Diego S.,2024-12-26,Cerrado,6.01,0.3,Snacks
Óscar Herrera,Pasta 500g,2.02,26,Montería,Camila R.,2025-04-15,Cerrado,52.52,2.63,Alimentos
Isabella Ortiz,Galletas 200g,1.84,25,Villavicencio,María V.,2024-10-04,Cerrado,46.0,2.3,Carnes
Ricardo Castro,Leche 1L,2.59,12,Ibagué,Juan L.,2025-02-24,Cerrado,31.08,1.55,Limpieza
Ricardo Castro,Queso 250g,3.99,2,Medellín,Daniela F.,2025-08-23,Cerrado,7.98,0.4,Carnes
Patricia Morales,Huevos 12u,2.19,2,Villavicencio,Andrea C.,2025-06-23,Cerrado,4.38,0.22,Panadería
Laura Mendoza,Salsa de tomate 400g,1.5,4,Santa Marta,Camila R.,2025-03-19,Cerrado,6.0,0.3,Bebidas no alcohólicas
Ricardo Castro,Pollo 1kg,7.45,5,Barranquilla,Carlos T.,2025-07-13,Pendiente,37.25,1.86,Congelados
Diego Ramírez,Azúcar 1kg,3.31,5,Cartagena,Daniela F.,2025-09-20,Cancelado,16.55,0.83,Alimentos
Carlos Pérez,Queso 250g,3.85,2,Cartagena,Natalia M.,2024-11-17,Pendiente,7.7,0.38,Alimentos
María Rodríguez,Pasta 500g,2.11,10,Manizales,Santiago Q.,2025-09-11,Cerrado,21.1,1.06,Alimentos
Patricia Morales,Yogur 120g,0.91,4,Cartagena,Carlos T.,2025-01-16,Cerrado,3.64,0.18,Bebidas no alcohólicas
Jorge Martínez,Jabón 500g,2.09,3,Santa Marta,Luis P.,2024-11-12,Pendiente,6.27,0.31,Carnes
Héctor Suarez,Cereal 300g,3.42,1,Montería,Juan L.,2025-01-30,Cerrado,3.42,0.17,Alimentos
Carlos Pérez,Jabón 500g,2.73,1,Villavicencio,Daniela F.,2024-10-18,Cerrado,2.73,0.14,Bebidas no alcohólicas
Laura Mendoza,Detergente 1kg,6.65,2,Cartagena,Camila R.,2025-01-11,Cerrado,13.3,0.66,Bebidas
María Rodríguez,Mantequilla 200g,4.09,2,Manizales,Juan L.,2025-06-16,Cerrado,8.18,0.41,Congelados
Sofía López,Cereal 300g,3.97,3,Medellín,María V.,2025-06-30,Cerrado,11.91,0.6,Abarrotes
Juan Gómez,Detergente 1kg,6.98,15,Medellín,Camila R.,2025-07-28,Cerrado,104.7,5.24,Panadería
Ricardo Castro,Cereal 300g,3.28,2,Medellín,Diego S.,2025-07-29,Cerrado,6.56,0.33,Lácteos
Felipe Rojas,Arroz 1kg,4.61,5,Barranquilla,Camila R.,2025-04-22,Cerrado,23.05,1.15,Panadería
Diego Ramírez,Harina 1kg,2.82,4,Montería,María V.,2025-03-12,Cerrado,11.28,0.56,Congelados
Cecilia Torres,Harina 1kg,2.93,8,Villavicencio,Daniela F.,2025-03-21,Cerrado,23.44,1.17,Limpieza
Jorge Martínez,Jabón 500g,2.59,4,Manizales,María V.,2025-07-29,Cerrado,10.36,0.52,Carnes
Ricardo Castro,Queso 250g,3.65,4,Bucaramanga,Natalia M.,2025-07-23,Cerrado,14.6,0.73,Limpieza
Andrés Díaz,Tomate enlatado 400g,1.77,1,Bogotá,Carlos T.,2025-05-14,Cerrado,1.77,0.09,Congelados
Patricia Morales,Café 250g,6.83,6,Sincelejo,Diego S.,2025-04-24,Cerrado,40.98,2.05,Congelados
Óscar Herrera,Pan 500g,1.27,5,Medellín,María V.,2025-05-10,Pendiente,6.35,0.32,Limpieza
Carlos Pérez,Salsa de tomate 400g,1.6,5,Ibagué,María V.,2025-07-28,Cerrado,8.0,0.4,Limpieza
Diego Ramírez,Pan 500g,1.08,4,Cali,María V.,2024-11-27,Pendiente,4.32,0.22,Abarrotes
Laura Mendoza,Pollo 1kg,8.25,7,Medellín,Camila R.,2024-10-15,Cerrado,57.75,2.89,Carnes
Jorge Martínez,Huevos 12u,2.11,2,Villavicencio,Luis P.,2025-04-09,Cerrado,4.22,0.21,Bebidas no alcohólicas
Diego Ramírez,Pan 500g,1.24,3,Cali,Juan L.,2024-12-24,Cerrado,3.72,0.19,Limpieza
Valentina Silva,Huevos 12u,2.74,1,Barranquilla,Camila R.,2024-10-10,Cerrado,2.74,0.14,Alimentos
Marta Aguilar,Café 250g,6.69,4,Montería,Natalia M.,2025-01-28,Cerrado,26.76,1.34,Lácteos
Diego Ramírez,Atún 170g,2.33,3,Bogotá,Natalia M.,2025-04-25,Cerrado,6.99,0.35,Congelados
Valentina Silva,Yogur 120g,0.87,4,Neiva,Luis P.,2025-02-18,Cerrado,3.48,0.17,Bebidas no alcohólicas
